x_id,x_type,x_name,y_id,y_type,y_name,relation,layer1_att,layer2_att,drug_id,disease_node_id
DB12530,drug,Inebilizumab,19836,disease,congenital anomaly of hepatic vein,drug_disease,0.0,0.590347908437252,DB12530,19836
DB12530,drug,Inebilizumab,1524,disease,globe disease,drug_disease,0.0,0.5820913165807724,DB12530,1524
DB12530,drug,Inebilizumab,20442,disease,left superior vena cava persisting to left-sided atrium,drug_disease,0.0,0.5805298164486885,DB12530,20442
DB12530,drug,Inebilizumab,19563,disease,CREST syndrome,drug_disease,0.0,0.5802378877997398,DB12530,19563
DB12530,drug,Inebilizumab,12456,disease,congenital primary aphakia,drug_disease,0.0,0.5773789510130882,DB12530,12456
DB12530,drug,Inebilizumab,19736,disease,dense deposit disease,drug_disease,0.0,0.5773110538721085,DB12530,19736
DB12530,drug,Inebilizumab,17372,disease,congenital varicella syndrome,drug_disease,0.0,0.5750319957733154,DB12530,17372
DB12530,drug,Inebilizumab,8143_7704_11923_12893_12894_12568,disease,osteoarthritis susceptibility,drug_disease,0.0,0.5746244341135025,DB12530,8143_7704_11923_12893_12894_12568
DB12530,drug,Inebilizumab,14121_8453_8026_18190,disease,proximal spinal muscular atrophy,drug_disease,0.0,0.5736086294054985,DB12530,14121_8453_8026_18190
DB12530,drug,Inebilizumab,5348,disease,keloid,drug_disease,0.0,0.5734044760465622,DB12530,5348
DB12530,drug,Inebilizumab,10439,disease,"cardiomyopathy, fatal fetal, due to myocardial calcification",drug_disease,0.0,0.5719952583312988,DB12530,10439
DB12530,drug,Inebilizumab,16024,disease,shoulder and thorax deformity-congenital heart disease syndrome,drug_disease,0.0,0.5718046054244041,DB12530,16024
DB12530,drug,Inebilizumab,6375,disease,placental hemangioma,drug_disease,0.0,0.5717769861221313,DB12530,6375
DB12530,drug,Inebilizumab,4509,disease,intrahepatic biliary papillomatosis,drug_disease,0.0,0.5715242698788643,DB12530,4509
DB12530,drug,Inebilizumab,7392,disease,coxoauricular syndrome,drug_disease,0.0,0.5710635036230087,DB12530,7392
DB12530,drug,Inebilizumab,5323,disease,bacterial sexually transmitted disease,drug_disease,0.0,0.5705922096967697,DB12530,5323
DB12530,drug,Inebilizumab,9240,disease,formiminoglutamic aciduria,drug_disease,0.0,0.5698799192905426,DB12530,9240
DB12530,drug,Inebilizumab,3968,disease,asynchronous multifocal osteogenic sarcoma,drug_disease,0.0,0.5683532506227493,DB12530,3968
DB12530,drug,Inebilizumab,7417,disease,Darier disease,drug_disease,0.0,0.5682637766003609,DB12530,7417
DB12530,drug,Inebilizumab,15748,disease,hereditary mucosal leukokeratosis,drug_disease,0.0,0.5675110295414925,DB12530,15748
DB12530,drug,Inebilizumab,19239,disease,inborn disorder of serine family metabolism,drug_disease,0.0,0.5673822164535522,DB12530,19239
DB12530,drug,Inebilizumab,15562,disease,distal monosomy 17q,drug_disease,0.0,0.5673753321170807,DB12530,15562
DB12530,drug,Inebilizumab,15126,disease,polyendocrinopathy,drug_disease,0.0,0.56645867228508,DB12530,15126
DB12530,drug,Inebilizumab,8905,disease,predisposition to invasive fungal disease due to CARD9 deficiency,drug_disease,0.0,0.5664269328117371,DB12530,8905
DB12530,drug,Inebilizumab,32884,disease,"ectodermal dysplasia with facial dysmorphism and acral, ocular, and brain anomalies",drug_disease,0.0,0.5657257661223412,DB12530,32884
DB12530,drug,Inebilizumab,21677,disease,post-infectious neuralgia,drug_disease,0.0,0.5656623244285583,DB12530,21677
DB12530,drug,Inebilizumab,22208,disease,crystal arthropathy,drug_disease,0.0,0.5655543729662895,DB12530,22208
DB12530,drug,Inebilizumab,17819,disease,atypical dentin dysplasia due to SMOC2 deficiency,drug_disease,0.0,0.5654535293579102,DB12530,17819
DB12530,drug,Inebilizumab,6875,disease,ocular hypertension,drug_disease,0.0,0.5653257369995117,DB12530,6875
DB12530,drug,Inebilizumab,32783_24523_13902_3803,disease,aortic valve disease,drug_disease,0.0,0.5653070211410522,DB12530,32783_24523_13902_3803
DB12530,drug,Inebilizumab,4805,disease,leukocyte disease,drug_disease,0.0,0.5650727972388268,DB12530,4805
DB12530,drug,Inebilizumab,10968,disease,"glaucoma 3, primary infantile, B",drug_disease,0.0,0.5650145784020424,DB12530,10968
DB12530,drug,Inebilizumab,13941,disease,metaphyseal chondromatosis with D-2-hydroxyglutaric aciduria,drug_disease,0.0,0.5645064041018486,DB12530,13941
DB12530,drug,Inebilizumab,9472,disease,"acetylation, slow",drug_disease,0.0,0.5642998144030571,DB12530,9472
DB12530,drug,Inebilizumab,100342,disease,malignant glioma,drug_disease,0.0,0.5642092525959015,DB12530,100342
DB12530,drug,Inebilizumab,8655,disease,"vestibulocochlear dysfunction, progressive",drug_disease,0.0,0.5635035336017609,DB12530,8655
DB12530,drug,Inebilizumab,2532,disease,squamous cell neoplasm,drug_disease,0.0,0.5632772445678711,DB12530,2532
DB12530,drug,Inebilizumab,17903,disease,autosomal dominant mendelian susceptibility to mycobacterial diseases due to partial IFNgammaR2 deficiency,drug_disease,0.0,0.5631197094917297,DB12530,17903
DB12530,drug,Inebilizumab,6952,disease,retinopathy of prematurity,drug_disease,0.0,0.5630238205194473,DB12530,6952
